CLASSE;BAGAGES;PRIORITE;VOITURE;NOURRITURE;CONFORT;POLITESSE;ATTENTE
économique;0;0;0;A;A;A;A
économique;0;0;0;A;A;A;A
économique;0;0;0;A;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;C;A;A;A
économique;0;0;0;A;A;A;A
économique;0;0;0;A;A;A;A
affaires;1;1;0;B;B;C;B
affaires;1;1;0;B;B;C;B
affaires;1;1;0;B;B;C;B
affaires;1;1;0;B;B;C;B
affaires;1;1;0;B;A;A;A
affaires;1;1;0;B;A;A;A
affaires;1;1;0;B;A;A;A
affaires;1;1;0;C;A;A;A
affaires;1;1;0;C;A;A;A
affaires;1;0;0;C;A;A;A
affaires;1;0;0;C;A;A;A
affaires;1;0;0;C;A;A;A
affaires;1;0;0;C;B;C;B
affaires;1;0;0;C;B;C;B
affaires;1;0;0;C;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;B;C;B;A
affaires;1;1;1;B;C;B;A
affaires;1;1;1;B;C;B;A
affaires;1;1;1;B;C;B;A
affaires;1;1;1;B;C;B;A
affaires;1;1;1;B;C;B;A
affaires;1;1;1;B;C;B;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;1;1;1;A;A;A;A
affaires;0;0;0;C;A;A;A
affaires;0;0;0;C;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
affaires;1;0;0;B;A;A;A
affaires;1;1;0;B;A;A;A
affaires;1;1;0;B;A;A;A
affaires;1;1;0;B;B;C;B
affaires;1;1;0;B;B;C;B
affaires;1;1;0;B;B;C;B
affaires;1;1;0;C;B;C;B
affaires;1;1;0;C;B;C;B
affaires;1;1;0;C;A;A;A
affaires;1;1;0;C;A;A;A
affaires;1;1;0;C;A;A;A
affaires;1;0;0;C;A;A;A
affaires;1;0;0;C;A;A;A
affaires;1;0;0;C;A;A;A
affaires;1;0;0;C;A;A;A
affaires;0;0;0;C;A;A;A
affaires;0;0;0;A;A;A;A
affaires;0;0;0;B;A;A;A
affaires;0;0;0;B;A;A;A
première;1;0;0;B;C;B;A
première;1;0;0;C;B;C;B
première;1;0;0;C;B;C;B
première;1;0;0;C;A;A;A
première;1;0;0;C;A;A;A
première;1;0;0;B;A;A;A
première;1;0;0;B;A;A;A
première;1;0;0;B;A;A;A
première;1;0;0;B;A;A;A
première;1;0;0;B;A;A;A
première;0;0;0;B;A;A;A
première;0;0;0;B;A;A;A
première;0;0;0;B;A;A;A
première;0;0;0;B;A;A;A
première;1;1;1;A;A;A;A
première;1;1;1;A;A;A;A
